제품명,성분명,코드
비노스토발포정(알렌드론산나트륨삼수화물),알렌드론산나트륨삼수화물,K-037589
콤비글라이즈서방정 5/1000mg,메트포르민염산염|삭사글립틴수화물,K-029534
아목클란듀오정 500mg,아목시실린수화물|묽은클라불란산칼륨,K-015270
케프라엑스알서방정 500mg,레비티라세탐,K-040531
도베인정 500mg,도베실산칼슘수화물,K-041153
직듀오서방정 10/500mg,메트포르민염산염|다파글리플로진프로판디올수화물,K-036625
케프라정 1000mg,레비티라세탐,K-012503
펜타사서방정 1g,메살라진,K-029962
파루탈정(메드록시프로게스테론아세테이트),메드록시프로게스테론아세테이트,K-003945
글루파정 850mg,메트포르민염산염,K-010610
마도파정,레보도파|염산벤세라짓,K-020014
비리어드정(테노포비르디소프록실푸마르산염),테노포비르디소프록실푸마르산염,K-027602
케프라엑스알서방정 750mg,레비티라세탐,K-040530
콤비글라이즈서방정 5/500mg,메트포르민염산염|삭사글립틴수화물,K-029533
메가폴민서방정(메트포르민염산염),메트포르민염산염,K-017517
텔로스톱플러스정 80/5/5mg,텔미사르탄|암로디핀베실산염|로수바스타틴칼슘,K-043814
조이렉스정(아시클로버)(수출명:HerpexTabs.200mgZoylinTabs.),아시클로버,K-002753
안플라그서방정 300mg,사르포그렐레이트염산염,K-047218
튜비스정,리팜피신|이소니아지드|피라진아미드|에탐부톨염산염,K-030008
트라젠타듀오정 2.5/1000mg,리나글립틴|메트포르민염산염,K-030309
크라모틴정(아목시실린·클라불란산칼륨(2:1)),아목시실린수화물|묽은클라불란산칼륨,K-009429
유한폰탈정 500mg,메페남산,K-004550
멀택정(드로네다론염산염),드로네다론염산염,K-027179
포스레놀정 500mg,탄산란탄,K-018969
마이렙트정 500mg,미코페놀레이트모페틸,K-027737
싸이신정 500mg,시프로플록사신염산염,K-002944
동아가바펜틴정 800mg,가바펜틴,K-016551
크라맥스정 375mg,아목시실린수화물|묽은클라불란산칼륨,K-004578
쎄로켈서방정 400mg,쿠에티아핀푸마르산염,K-022703
아마릴-멕스서방정 2/500mg,메트포르민염산염|글리메피리드,K-023740
스타레보필름코팅정 200/50/200mg,엔타카폰|레보도파|카르비도파수화물,K-023835
란스톤엘에프디티정 30mg,란소프라졸,K-018110
다이아벡스엑스알서방정(메트포르민염산염),메트포르민염산염,K-018254
이트라정 100mg,이트라코나졸,K-009460
리피논정 80mg,무수아토르바스타틴칼슘,K-024631
테노리드정(테노포비르디소프록실),테노포비르디소프록실,K-042226
트윈스타정 80/5mg,텔미사르탄|암로디핀베실산염,K-027735
리피딜슈프라정(페노피브레이트),페노피브레이트,K-013937
자누메트엑스알서방정 100/1000mg,메트포르민염산염|시타글립틴인산염수화물,K-031885
자디앙듀오정 12.5/850mg,엠파글리플로진|메트포르민염산염,K-038186
자디앙듀오정 5/850mg,엠파글리플로진|메트포르민염산염,K-038183
아사콜디알정1600mg/PTP,메살라진,K-053132
인벨라정(세벨라머탄산염),세벨라머탄산염,K-035837
나프메드정 500/20mg,에스오메프라졸|나프록센,K-033465
유로시트라케이10mEq서방정(시트르산칼륨수화물),시트르산칼륨수화물,K-018757
듀오웰정 80/10mg,텔미사르탄|로수바스타틴칼슘,K-034568
후시딘정(퓨시드산나트륨),퓨시드산나트륨,K-000400
유나신정 375mg,설타미실린토실산염수화물,K-011274
자디앙듀오정 12.5/1000mg,엠파글리플로진|메트포르민염산염,K-038187
디스토시드정(프라지콴텔정)군납명:프라지콴텔정,프라지콴텔,K-000913
울트라셋이알서방정,아세트아미노펜|트라마돌염산염,K-027926
트라젠타듀오정 2.5/850mg,리나글립틴|메트포르민염산염,K-030308
아목시클정(아목시실린수화물·클라불란산칼륨(7:1)),아목시실린수화물|희석클라불란산칼륨,K-011833
하이세펜정,아세트아미노펜|트라마돌염산염,K-023729
사브릴정 500mg,비가바트린,K-007022
칸데모어정 32mg,칸데사르탄실렉세틸,K-028010
케프라정 500mg,레비티라세탐,K-012502
레보펙신정 500mg,레보플록사신수화물,K-020769
오르필서방정 600mg,발프로산나트륨,K-007947
울트라스크정,아세트아미노펜|트라마돌염산염,K-023612
세비보정(텔비부딘),텔비부딘,K-020006
네오메디코푸정,디히드로코데인타르타르산염|클로르페니라민말레산염|dl-메틸에페드린염산염|카페인무수물,K-000438
에란탄지속정 60mg,이소소르비드5모노니트레이트90%,K-016302
다이아벡스정 1000mg,메트포르민염산염,K-012767
리리카CR서방정 330mg,프레가발린,K-044258
마이렙틱엔장용정 360mg,미코페놀레이트나트륨,K-040623
쎄로켈서방정 200mg,쿠에티아핀푸마르산염,K-022706
슈가메트서방정 2.5/850mg,메트포르민염산염|에보글립틴타르타르산염,K-038106
자누메트정 50/500mg,시타글립틴인산염수화물|메트포르민염산염,K-022712
일성이솦틴서방정 180mg,베라파밀염산염,K-005087
알레그라디정,펙소페나딘염산염|수도에페드린염산염,K-008901
실콘정(칼슘폴리카르보필),폴리카르보필칼슘,K-008223
쎄로켈서방정 300mg,쿠에티아핀푸마르산염,K-022704
마이폴틱장용정 360mg,미코페놀레이트나트륨,K-013828
자디앙듀오정 5/500mg,엠파글리플로진|메트포르민염산염,K-038182
올멕정 40mg,올메사탄메독소밀,K-028129
렌벨라정(세벨라머탄산염),세벨라머탄산염,K-028901
펙소스타정 80mg,페북소스타트,K-037666
직듀오서방정 10/1000mg,메트포르민염산염|다파글리플로진프로판디올수화물,K-036551
리피로우젯정10/20mg,아토르바스타틴칼슘|에제티미브,K-052958
클래리정 500mg,클래리트로마이신,K-010931
아토젯정 10/20mg,에제티미브|아토르바스타틴칼슘삼수화물,K-035205
테잘바이정 80/5mg,텔미사르탄|암로디핀베실산염,K-040671
아모잘탄플러스정 5/50/12.5mg,암로디핀캄실산염|클로르탈리돈|로사르탄칼륨,K-041949
로벨리토정 150/10mg,아토르바스타틴칼슘삼수화물|이르베사르탄,K-031918
레나메진캡슐(구형흡착탄),구형흡착탄,K-036480
자디앙듀오정 5/1000mg,엠파글리플로진|메트포르민염산염,K-038184
발시버정 500mg,발라시클로비르염산염1.5수화물,K-028052
동아가바펜틴정 600mg,가바펜틴,K-019299
씬지록신정 125mcg,레보티록신나트륨수화물,K-042262
시로판정(시프로플록사신염산염수화물),시프로플록사신염산염수화물,K-003137
아미썰정 400mg,아미설프리드,K-029200
휴트라돌정,아세트아미노펜|트라마돌염산염,K-022644
아모잘탄큐정5/50/10밀리그램,암로디핀캄실산염|로수바스타틴칼슘|로사르탄칼륨,K-042041
옥사제핀정 600mg,옥스카르바제핀,K-039815
조이렉스정 400mg,아시클로버,K-004669
아토젯정 10/80mg,에제티미브|아토르바스타틴칼슘삼수화물,K-035207
한올아푸록산정 300mg,프로글루메타신말레산염,K-003259
뉴바스트정 80mg,아토르바스타틴스트론튬오수화물,K-024981
트윈콤비정 40/5mg,텔미사르탄|암로디핀베실산염,K-040639
쎄로켈정 200mg,쿠에티아핀푸마르산염,K-010222
보령부스파정 15mg,부스피론염산염,K-026894
헬스피온서방정 150mg,부프로피온염산염,K-040317
로벨리토정 300/20mg,아토르바스타틴칼슘삼수화물|이르베사르탄,K-033025
넥시움정 40mg,에스오메프라졸마그네슘삼수화물,K-010224
듀미록스정 100mg,플루복사민말레이트,K-007646
자누메트정 50/850mg,시타글립틴인산염수화물|메트포르민염산염,K-025367
페브릭정 80mg,페북소스타트,K-025894
아미썰정 200mg,아미설프리드,K-030599
로벨리토정 300/10mg,아토르바스타틴칼슘삼수화물|이르베사르탄,K-033024
포리부틴서방정(트리메부틴말레산염),트리메부틴말레산염,K-003687
덱시드정 480mg,알티옥트산트로메타민염,K-032167
텔미원정 80mg,텔미사르탄,K-027840
