canonical_drug_id,canonical_drug_name_ko,canonical_drug_name_en
DRUG_CANON_001,아자티오프린,azathioprine
DRUG_CANON_002,바실릭시맙,basiliximab
DRUG_CANON_003,사이클로스포린,cyclosporine
DRUG_CANON_004,다클리주맙,daclizumab
DRUG_CANON_005,무로모납-CD3,muromonab-CD3
DRUG_CANON_006,미코페놀레이트,mycophenolate
DRUG_CANON_007,타크로리무스,tacrolimus
DRUG_CANON_008,시롤리무스,sirolimus
DRUG_CANON_009,프레드니손,prednisone
DRUG_CANON_010,페넬진,phenelzine
DRUG_CANON_011,아스피린,aspirin
DRUG_CANON_012,클로피도그렐,clopidogrel
DRUG_CANON_013,티클로피딘,ticlopidine
DRUG_CANON_014,디클로페낙,diclofenac
DRUG_CANON_015,나프록센,naproxen
DRUG_CANON_016,달테파린,dalteparin
DRUG_CANON_017,에녹사파린,enoxaparin
DRUG_CANON_018,헤파린,heparin
DRUG_CANON_019,와파린,warfarin
DRUG_CANON_020,실로스타졸,cilostazol
DRUG_CANON_021,이부프로펜,ibuprofen
DRUG_CANON_022,인슐린,insulin
DRUG_CANON_023,니페디핀,nifedipine
DRUG_CANON_024,랄테그라비르,raltegravir
DRUG_CANON_025,펙소페나딘,fexofenadine
DRUG_CANON_026,클로르족사존,chlorzoxazone
DRUG_CANON_027,테오필린,theophylline
DRUG_CANON_028,이마티닙,imatinib
DRUG_CANON_029,항생제,antibiotics
DRUG_CANON_030,클로로티아지드,chlorothiazide
DRUG_CANON_031,클로르탈리돈,chlorthalidone
DRUG_CANON_032,푸로세미드,furosemide
DRUG_CANON_033,히드로클로로티아지드,hydrochlorothiazide
DRUG_CANON_034,세보플루란,sevoflurane
DRUG_CANON_035,글리피지드,glipizide
DRUG_CANON_036,글리메피리드,glimepiride
DRUG_CANON_037,메트포르민,metformin
DRUG_CANON_038,피오글리타존,pioglitazone
DRUG_CANON_039,로시글리타존,rosiglitazone
DRUG_CANON_040,타목시펜,tamoxifen
DRUG_CANON_041,콜레스테롤 합성 억제제,cholesterol synthesis inhibitors
DRUG_CANON_042,라록시펜,raloxifene
DRUG_CANON_043,페노티아진계 약물,phenothiazines
DRUG_CANON_044,플루옥세틴,fluoxetine
DRUG_CANON_045,파록세틴,paroxetine
DRUG_CANON_046,설트랄린,sertraline
DRUG_CANON_047,라미프릴,ramipril
DRUG_CANON_048,살부타몰,salbutamol
DRUG_CANON_049,메타프로테레놀,metaproterenol
DRUG_CANON_050,이소프로테레놀,isoproterenol
DRUG_CANON_051,테르부탈린,terbutaline
DRUG_CANON_052,에페드린,ephedrine
DRUG_CANON_053,모노아민 산화효소 억제제,monoamine oxidase inhibitors (MAOIs)
DRUG_CANON_054,갑상선 호르몬 대체제,thyroid hormone replacement therapy
DRUG_CANON_055,ACE 억제제 및 ARB 제제,ACE inhibitors and angiotensin II receptor blockers (ARBs)
DRUG_CANON_056,니트로글리세린,nitroglycerin
DRUG_CANON_057,이소소르비드 질산염 제제,isosorbide nitrate preparations
DRUG_CANON_058,실데나필,sildenafil
DRUG_CANON_059,스피로노락톤,spironolactone
DRUG_CANON_060,아세트아미노펜,acetaminophen
DRUG_CANON_061,아미오다론,amiodarone
DRUG_CANON_062,카르바마제핀,carbamazepine
DRUG_CANON_063,이소니아지드,isoniazid
DRUG_CANON_064,메토트렉세이트,methotrexate
DRUG_CANON_065,메틸도파,methyldopa
DRUG_CANON_066,보르테조밉,bortezomib
DRUG_CANON_067,클로자핀,clozapine
DRUG_CANON_068,심바스타틴,simvastatin
DRUG_CANON_069,수니티닙,sunitinib
DRUG_CANON_070,퀴놀론계 항생제,quinolone antibiotics
DRUG_CANON_071,시메티딘,cimetidine
DRUG_CANON_072,경구 피임제,oral contraceptives
DRUG_CANON_073,지용성 비타민,fat-soluble vitamins
DRUG_CANON_074,항응고제,anticoagulants
DRUG_CANON_075,에토포사이드,etoposide
DRUG_CANON_076,독소루비신,doxorubicin
DRUG_CANON_077,세레콕시브,celecoxib
DRUG_CANON_078,피록시캄,piroxicam
DRUG_CANON_079,플루바스타틴,fluvastatin
DRUG_CANON_080,이르베사르탄,irbesartan
DRUG_CANON_081,로사르탄,losartan
DRUG_CANON_082,페니토인,phenytoin
DRUG_CANON_083,토르세미드,torsemide
DRUG_CANON_084,아미트립틸린,amitriptyline
DRUG_CANON_085,디아제팜,diazepam
