drug_alias_id,alias_name,alias_name_normalized,canonical_drug_id
DRUG_ALIAS_001,아자티오프린,아자티오프린,DRUG_CANON_001
DRUG_ALIAS_002,바실릭시맙,바실릭시맙,DRUG_CANON_002
DRUG_ALIAS_003,사이클로스포린,사이클로스포린,DRUG_CANON_003
DRUG_ALIAS_004,다클리주맙,다클리주맙,DRUG_CANON_004
DRUG_ALIAS_005,뮤로모냅-CD3,뮤로모냅cd3,DRUG_CANON_005
DRUG_ALIAS_006,미코페놀레이트,미코페놀레이트,DRUG_CANON_006
DRUG_ALIAS_007,타크로리무스,타크로리무스,DRUG_CANON_007
DRUG_ALIAS_008,시롤리무스,시롤리무스,DRUG_CANON_008
DRUG_ALIAS_009,프레드니손,프레드니손,DRUG_CANON_009
DRUG_ALIAS_010,페넬진,페넬진,DRUG_CANON_010
DRUG_ALIAS_011,아스프린,아스프린,DRUG_CANON_011
DRUG_ALIAS_012,클로피도그렐,클로피도그렐,DRUG_CANON_012
DRUG_ALIAS_013,티클로피딘,티클로피딘,DRUG_CANON_013
DRUG_ALIAS_014,디클로페낙,디클로페낙,DRUG_CANON_014
DRUG_ALIAS_015,나프록센,나프록센,DRUG_CANON_015
DRUG_ALIAS_016,달테파린,달테파린,DRUG_CANON_016
DRUG_ALIAS_017,에노사파린,에노사파린,DRUG_CANON_017
DRUG_ALIAS_018,헤파린,헤파린,DRUG_CANON_018
DRUG_ALIAS_019,와파린,와파린,DRUG_CANON_019
DRUG_ALIAS_020,실로스타졸,실로스타졸,DRUG_CANON_020
DRUG_ALIAS_021,이부프로펜,이부프로펜,DRUG_CANON_021
DRUG_ALIAS_022,인슐린,인슐린,DRUG_CANON_022
DRUG_ALIAS_023,니페디핀,니페디핀,DRUG_CANON_023
DRUG_ALIAS_024,랄테그라빌,랄테그라빌,DRUG_CANON_024
DRUG_ALIAS_025,펙소페나딘,펙소페나딘,DRUG_CANON_025
DRUG_ALIAS_026,클로르족사존,클로르족사존,DRUG_CANON_026
DRUG_ALIAS_027,테오필린,테오필린,DRUG_CANON_027
DRUG_ALIAS_028,이마티닙,이마티닙,DRUG_CANON_028
DRUG_ALIAS_029,항생제,항생제,DRUG_CANON_029
DRUG_ALIAS_030,클로르타이아자이드,클로르타이아자이드,DRUG_CANON_030
DRUG_ALIAS_031,클로르탈리돈,클로르탈리돈,DRUG_CANON_031
DRUG_ALIAS_032,푸로세미드,푸로세미드,DRUG_CANON_032
DRUG_ALIAS_033,히드로클로로티아지드,히드로클로로티아지드,DRUG_CANON_033
DRUG_ALIAS_034,세보플루렌,세보플루렌,DRUG_CANON_034
DRUG_ALIAS_035,글리피지드,글리피지드,DRUG_CANON_035
DRUG_ALIAS_036,글리메피리드,글리메피리드,DRUG_CANON_036
DRUG_ALIAS_037,메트포르민,메트포르민,DRUG_CANON_037
