pill_product_id,product_name,product_name_normalized
PILL_000001,가브스메트정 50/1000mg,가브스메트정501000mg
PILL_000002,가브스메트정 50/500mg,가브스메트정50500mg
PILL_000003,가브스메트정 50/850mg,가브스메트정50850mg
PILL_000004,가브스정 50mg,가브스정50mg
PILL_000005,가스터디정 20mg,가스터디정20mg
PILL_000006,게루삼정 200mg/PTP,게루삼정200mgptp
PILL_000007,게보린정 300mg/PTP,게보린정300mgptp
PILL_000008,경남비타민씨정 1031mg/PTP,경남비타민씨정1031mgptp
PILL_000009,고칼디정,고칼디정
PILL_000010,구구탐스캡슐 5mg/PTP,구구탐스캡슐5mgptp
PILL_000011,구아내정 10mg/PTP,구아내정10mgptp
PILL_000012,구주로라타딘정 10mg,구주로라타딘정10mg
PILL_000013,구주스피로닥톤정(스피로노락톤),구주스피로닥톤정스피로노락톤
PILL_000014,그날엔정 75mg/PTP,그날엔정75mgptp
PILL_000015,근편정 300mg/PTP,근편정300mgptp
PILL_000016,글레딘정(글리메피리드)(수출명:GLITRID),글레딘정글리메피리드수출명glitrid
PILL_000017,글로덱시정 300mg,글로덱시정300mg
PILL_000018,글로아스피린장용정 100mg,글로아스피린장용정100mg
PILL_000019,글루코다운오알서방정 750mg,글루코다운오알서방정750mg
PILL_000020,글루코바이정 100mg,글루코바이정100mg
PILL_000021,글루코바이정 50mg,글루코바이정50mg
PILL_000022,"글루파정 1,000mg",글루파정1000mg
PILL_000023,글루파정 250mg,글루파정250mg
PILL_000024,글루파정 500mg,글루파정500mg
PILL_000025,글루파정 850mg,글루파정850mg
PILL_000026,글리닙정 200mg,글리닙정200mg
PILL_000027,글리닙정 400mg,글리닙정400mg
PILL_000028,글리돈정 350mg/PTP,글리돈정350mgptp
PILL_000029,글리멜엠정 1/250mg,글리멜엠정1250mg
PILL_000030,글리멜엠정 2/500mg,글리멜엠정2500mg
PILL_000031,글리멜정 1mg,글리멜정1mg
PILL_000032,글리멜정 2mg,글리멜정2mg
PILL_000033,글리멜정 3mg,글리멜정3mg
PILL_000034,글리멜정 4mg,글리멜정4mg
PILL_000035,글리틴정(콜린알포세레이트),글리틴정콜린알포세레이트
PILL_000036,글립타이드정 200mg,글립타이드정200mg
PILL_000037,기넥신에프정240mg/병,기넥신에프정240mg병
PILL_000038,기넥신에프정 80mg,기넥신에프정80mg
PILL_000039,기넥신에프정(은행엽엑스)(수출용),기넥신에프정은행엽엑스수출용
PILL_000040,기스톱정(세티리진염산염),기스톱정세티리진염산염
PILL_000041,까스앤프리츄정 80mg/PTP,까스앤프리츄정80mgptp
PILL_000042,나제아오디정 0.1mg,나제아오디정01mg
PILL_000043,나프록소정(나프록센나트륨),나프록소정나프록센나트륨
PILL_000044,나프록스정 275mg,나프록스정275mg
PILL_000045,나프롱정(나프록센나트륨),나프롱정나프록센나트륨
PILL_000046,나프메드정 500/20mg,나프메드정50020mg
PILL_000047,낙센정 250mg/PTP,낙센정250mgptp
PILL_000048,네비레트정(네비보롤염산염),네비레트정네비보롤염산염
PILL_000049,네비로스타정 5/20mg,네비로스타정520mg
PILL_000050,네오메디코푸정,네오메디코푸정
PILL_000051,네오벤졸정 400mg/PTP,네오벤졸정400mgptp
PILL_000052,네프신정 416.7mg/PTP,네프신정4167mgptp
PILL_000053,넥시움정 20mg,넥시움정20mg
PILL_000054,넥시움정 40mg,넥시움정40mg
PILL_000055,노바스크정 10mg,노바스크정10mg
PILL_000056,노바스크정 5mg,노바스크정5mg
PILL_000057,노시드정 124.9mg/PTP,노시드정1249mgptp
PILL_000058,노이로민정(세인트존스워트80%메탄올건조엑스),노이로민정세인트존스워트80메탄올건조엑스
PILL_000059,노즈쏙정 20mg/PTP,노즈쏙정20mgptp
PILL_000060,노타민정(로라타딘),노타민정로라타딘
PILL_000061,뉴론틴정 600mg,뉴론틴정600mg
PILL_000062,뉴바스트정 20mg,뉴바스트정20mg
PILL_000063,뉴바스트정 40mg,뉴바스트정40mg
PILL_000064,뉴바스트정 80mg,뉴바스트정80mg
PILL_000065,뉴스타틴티에스정 40/5/10mg,뉴스타틴티에스정40510mg
PILL_000066,뉴스타틴티에스정 80/5/10mg,뉴스타틴티에스정80510mg
PILL_000067,뉴젠팜바클로펜정 10mg,뉴젠팜바클로펜정10mg
PILL_000068,뉴클로정 125mg/PTP,뉴클로정125mgptp
PILL_000069,뉴토르정 10mg,뉴토르정10mg
PILL_000070,니자드정(니자티딘),니자드정니자티딘
PILL_000071,니자티드정(니자티딘)(비매품),니자티드정니자티딘비매품
PILL_000072,다산알벤다졸정400mg/PTP,다산알벤다졸정400mgptp
PILL_000073,다오닐정5mg(수출용),다오닐정5mg수출용
PILL_000074,다온정 0.1mg/PTP,다온정01mgptp
PILL_000075,다우제큐정 10mg/PTP,다우제큐정10mgptp
PILL_000076,다이아벡스엑스알서방정(메트포르민염산염),다이아벡스엑스알서방정메트포르민염산염
PILL_000077,다이아벡스정 1000mg,다이아벡스정1000mg
PILL_000078,닥터베아제정 80mg/병,닥터베아제정80mg병
PILL_000079,담엔싹정 300mg/PTP,담엔싹정300mgptp
PILL_000080,대웅바이오록소프로펜정(록소프로펜나트륨수화물),대웅바이오록소프로펜정록소프로펜나트륨수화물
PILL_000081,대웅알벤다졸정 400mg/PTP,대웅알벤다졸정400mgptp
PILL_000082,대웅푸루나졸정 150mg,대웅푸루나졸정150mg
PILL_000083,대웅프리미돈정,대웅프리미돈정
PILL_000084,대화로자탄정(로사르탄칼륨),대화로자탄정로사르탄칼륨
PILL_000085,대화산화마그네슘정,대화산화마그네슘정
PILL_000086,대화와르파린나트륨정,대화와르파린나트륨정
