supplement_id,supplement_name_ko,supplement_name_en
SUPP_001,인삼,Ginseng
SUPP_002,프로바이오틱스,Probiotics
SUPP_003,알로에,Aloe
SUPP_004,EPA 및 DHA 함유 유지(오메가-3 지방산),EPA and DHA-containing oils (omega-3 fatty acids)
SUPP_005,밀크씨슬,Milk thistle
SUPP_006,감마리놀렌산 함유 유지,Gamma-linolenic acid-containing oils
SUPP_007,당귀,Korean angelica
SUPP_008,마테,Yerba mate
SUPP_009,돌외잎,Gynostemma leaf
SUPP_010,대두,Soybean
SUPP_011,L-카르니틴,L-carnitine
SUPP_012,녹차,Green tea
SUPP_013,키토산/키토올리고당,Chitosan/chitooligosaccharide
SUPP_014,스피루리나,Spirulina
SUPP_015,글루코사민,Glucosamine
SUPP_016,석류,Pomegranate
SUPP_017,가시오갈피,Siberian ginseng
SUPP_018,아프리카망고,African mango
SUPP_019,클로렐라,Chlorella
SUPP_020,공액리놀레산,Conjugated linoleic acid
SUPP_021,코엔자임 Q10,Coenzyme Q10
SUPP_022,은행잎,Ginkgo
SUPP_023,쏘팔메토,Saw palmetto
SUPP_024,포스파티딜세린,Phosphatidylserine
SUPP_025,크랜베리,Cranberry
SUPP_026,감초,Licorice
SUPP_027,울금(커큐민),Turmeric (curcumin)
SUPP_028,마늘,Garlic
SUPP_029,오미자,Schisandra
SUPP_030,호로파 종자,Fenugreek seed
SUPP_031,루바브 뿌리,Rhubarb root
SUPP_032,글루코사민-콘드로이틴,Glucosamine-chondroitin
SUPP_033,인동덩굴,Japanese honeysuckle
